url_path,views_total,views_unique
/matias-gonz/mag-analyst,80,38
/matias-gonz/mag-analyst/blob/main/explanation-document.md,19,6
/matias-gonz/mag-analyst/tree/github-repo-stats/matias-gonz/mag-analyst,19,2
/matias-gonz/mag-analyst/tree/main/data/sampleData,12,4
/matias-gonz/mag-analyst/blob/main/README.md,10,4
/matias-gonz/mag-analyst/tree/main/articles,9,3
/matias-gonz/mag-analyst/tree/github-repo-stats,7,1
/matias-gonz/mag-analyst/blob/main/articles/2024%2C%20TMAG%2C%20MagAnalyst%20A%20MATLAB%20Toolbox%20for%20Anhysteretic%20Magnetization%20Analysis.pdf,6,3
/matias-gonz/mag-analyst/releases,6,2
/matias-gonz/mag-analyst/blob/main/app.mlapp,6,1
