H [A/m];M [A/m]
-425.279304225758;-376931.271962175
-429.766841640575;-388699.839064536
-434.254379055391;-400468.406166897
-438.821579513127;-412236.973269258
-443.653941400342;-424005.540371619
-448.486303287557;-435774.10747398
-453.756138508881;-447542.674576341
-459.465962522368;-459311.241678702
-465.175786535855;-471079.808781063
-472.556824776838;-482848.375883424
-479.978726365016;-494616.942985785
-486.358868207604;-506385.510088146
-492.588395114458;-518154.077190508
-499.949126533768;-529922.644292869
-508.194366450263;-541691.21139523
-516.439545302338;-553459.778497591
-524.684693899118;-565228.345599952
-533.728341823976;-576996.912702313
-542.905997182004;-588765.479804674
-551.151142832849;-600534.046907035
-560.033133665232;-612302.614009396
-571.445842553574;-624071.181111757
-583.452020144223;-635839.748214118
-595.679894165182;-647608.315316479
-607.909322338995;-659376.882418841
-619.498726157159;-671145.449521202
-630.910711435471;-682914.016623563
-642.321163834644;-694682.583725924
-655.101637941525;-706451.150828285
-668.94022851176;-718219.717930646
-683.843972631201;-729988.285033007
-696.073473807744;-741756.852135368
-709.585203678447;-753525.419237729
-725.316388558998;-765293.98634009
-743.926214594662;-777062.553442451
-762.214840533694;-788831.120544812
-777.428229312566;-800599.687647173
-792.641618091438;-812368.254749535
-810.941148356271;-824136.821851896
-831.117285800683;-835905.388954257
-850.925013512247;-847673.956056618
-870.979460511155;-859442.523158979
-891.513366911908;-871211.09026134
-912.047251307894;-882979.657363701
-932.094208379675;-894748.224466062
-954.351949008745;-906516.791568423
-978.562060315762;-918285.358670784
-1002.82435891041;-930053.925773145
-1029.90092339537;-941822.492875506
-1065.5366392201;-953591.059977868
-1098.04609273979;-965359.627080229
-1131.47639020951;-977128.19418259
-1171.24266696037;-988896.761284951
-1205.33892979108;-1000665.32838731
-1236.3334580831;-1012433.89548967
-1278.06427450387;-1024202.46259203
-1323.64112940223;-1035971.0296944
-1359.6872539194;-1047739.59679676
-1405.28784152856;-1059508.16389912
-1451.585130273;-1071276.73100148
-1508.87373097404;-1083045.29810384
-1563.33753549866;-1094813.8652062
-1618.20196318586;-1106582.43230856
-1681.90017589114;-1118350.99941092
-1746.0054352819;-1130119.56651328
-1826.16582446284;-1141888.13361564
-1910.8964698873;-1153656.70071801
-1986.15511164;-1165425.26782037
-1990.60352667;-1163473.28015546
-1785.88188248112;-1151724.43010022
-1563.34253800106;-1139975.58004498
-1393.37079934141;-1128226.72998973
-1231.69303677609;-1116477.87993449
-1107.71793953624;-1104729.02987925
-992.699055874097;-1092980.17982401
-889.547299183612;-1081231.32976877
-811.017883921919;-1069482.47971353
-735.809136724559;-1057733.62965829
-668.099326463489;-1045984.77960305
-601.406718933848;-1034235.92954781
-538.799987697509;-1022487.07949257
-480.150175409657;-1010738.22943733
-432.220531029844;-998989.379382086
-388.750193280757;-987240.529326845
-347.344259325566;-975491.679271605
-315.11992041469;-963742.829216364
-286.520119062544;-951993.979161123
-257.246549155021;-940245.129105882
-229.320660918943;-928496.279050642
-203.020577957437;-916747.428995401
-182.023350061322;-904998.57894016
-160.28292839123;-893249.728884919
-139.745199652651;-881500.878829679
-117.250026178761;-869752.028774437
-98.7805177967707;-858003.178719197
-82.1694176750132;-846254.328663956
-62.639766957454;-834505.478608715
-45.9091986767806;-822756.628553474
-32.1501814646044;-811007.778498234
-16.4677583371929;-799258.928442993
-1.79688534069721;-787510.078387752
10.38003711;-775761.228332511
24.9356856602218;-764012.378277271
36.2275965183636;-752263.52822203
47.4189701777452;-740514.678166789
58.5282238486695;-728765.828111548
68.8567392521635;-717016.978056308
80.0252907409539;-705268.128001067
92.7480051866512;-693519.277945826
100.310713522856;-681770.427890585
113.718421567249;-670021.577835344
123.171995695578;-658272.727780104
130.876347012888;-646523.877724863
139.629477417845;-634775.027669622
149.234545983687;-623026.177614381
156.349101247775;-611277.327559141
165.755513470486;-599528.4775039
173.748217736065;-587779.627448659
182.644285704817;-576030.777393418
190.067427711353;-564281.927338177
196.81499902388;-552533.077282937
203.45517855983;-540784.227227696
210.094195795815;-529035.377172455
215.893887137107;-517286.527117214
221.588663299309;-505537.677061974
227.284911855303;-493788.827006733
232.062149115426;-482039.976951492
236.493172210566;-470291.126896251
240.686745743732;-458542.27684101
244.831708360321;-446793.42678577
248.799539097564;-435044.576730529
252.599436741119;-423295.726675288
256.399334384674;-411546.876620047
259.263425780547;-399798.026564807
262.114431650002;-388049.176509566
264.965437519457;-376300.326454325
267.712862293625;-364551.476399084
270.396260312068;-352802.626343843
273.079658330511;-341053.776288603
275.757191439269;-329304.926233362
278.291739819034;-317556.076178121
280.8262881988;-305807.22612288
283.360836578565;-294058.37606764
285.779978154243;-282309.526012399
287.854081321915;-270560.675957158
289.928184489586;-258811.825901917
292.002287657257;-247062.975846676
294.076390824928;-235314.125791436
296.311395481472;-223565.275736195
298.644687888354;-211816.425680954
300.977980295237;-200067.575625713
303.311272702119;-188318.725570472
305.644565109002;-176569.875515232
307.968917388026;-164821.025459991
310.293186839737;-153072.17540475
312.617456291449;-141323.325349509
314.94172574316;-129574.475294269
317.265995194871;-117825.625239028
319.459370338406;-106076.775183787
321.361124481962;-94327.9251285462
323.262878625518;-82579.0750733054
325.164632769074;-70830.2250180647
327.06638691263;-59081.3749628239
328.968141056186;-47332.5249075831
330.965089135453;-35583.6748523423
333.018288296968;-23834.8247971016
335.071487458484;-12085.9747418608
337.12468662;-337.12468662
337.185467721675;0
337.24624882335;337.12468662
339.368034922111;12105.6917889811
341.489821020872;23874.2588913422
343.611607119633;35642.8259937032
345.733393218394;47411.3930960643
347.855179317155;59179.9601984254
349.976965415916;70948.5273007865
352.161909716137;82717.0944031476
354.44737531958;94485.6615055086
356.732840923024;106254.22860787
359.018306526467;118022.795710231
361.30377212991;129791.362812592
363.631005271121;141559.929914953
366.227933578237;153328.497017314
368.824861885352;165097.064119675
371.421790192468;176865.631222036
374.018718499583;188634.198324397
376.615987426004;200402.765426758
379.213580735113;212171.332529119
381.811174044221;223939.899631481
384.40876735333;235708.466733842
387.006360662438;247477.033836203
390.116504761575;259245.600938564
393.289794138285;271014.168040925
396.463083514995;282782.735143286
399.692823874745;294551.302245647
403.389335533174;306319.869348008
407.085847191604;318088.436450369
410.782358850033;329857.00355273
414.410936745292;341625.570655091
417.980662124075;353394.137757452
421.550387502858;365162.704859814
425.279304225758;376931.271962175
429.766841640575;388699.839064536
434.254379055391;400468.406166897
438.821579513127;412236.973269258
443.653941400342;424005.540371619
448.486303287557;435774.10747398
453.756138508881;447542.674576341
459.465962522368;459311.241678702
465.175786535855;471079.808781063
472.556824776838;482848.375883424
479.978726365016;494616.942985785
486.358868207604;506385.510088146
492.588395114458;518154.077190508
499.949126533768;529922.644292869
508.194366450263;541691.21139523
516.439545302338;553459.778497591
524.684693899118;565228.345599952
533.728341823976;576996.912702313
542.905997182004;588765.479804674
551.151142832849;600534.046907035
560.033133665232;612302.614009396
571.445842553574;624071.181111757
583.452020144223;635839.748214118
595.679894165182;647608.315316479
607.909322338995;659376.882418841
619.498726157159;671145.449521202
630.910711435471;682914.016623563
642.321163834644;694682.583725924
655.101637941525;706451.150828285
668.94022851176;718219.717930646
683.843972631201;729988.285033007
696.073473807744;741756.852135368
709.585203678447;753525.419237729
725.316388558998;765293.98634009
743.926214594662;777062.553442451
762.214840533694;788831.120544812
777.428229312566;800599.687647173
792.641618091438;812368.254749535
810.941148356271;824136.821851896
831.117285800683;835905.388954257
850.925013512247;847673.956056618
870.979460511155;859442.523158979
891.513366911908;871211.09026134
912.047251307894;882979.657363701
932.094208379675;894748.224466062
954.351949008745;906516.791568423
978.562060315762;918285.358670784
1002.82435891041;930053.925773145
1029.90092339537;941822.492875506
1065.5366392201;953591.059977868
1098.04609273979;965359.627080229
1131.47639020951;977128.19418259
1171.24266696037;988896.761284951
1205.33892979108;1000665.32838731
1236.3334580831;1012433.89548967
1278.06427450387;1024202.46259203
1323.64112940223;1035971.0296944
1359.6872539194;1047739.59679676
1405.28784152856;1059508.16389912
1451.585130273;1071276.73100148
1508.87373097404;1083045.29810384
1563.33753549866;1094813.8652062
1618.20196318586;1106582.43230856
1681.90017589114;1118350.99941092
1746.0054352819;1130119.56651328
1826.16582446284;1141888.13361564
1910.8964698873;1153656.70071801
1986.15511164;1165425.26782037
